,date,dn1,dn,day,month,year,ratiop,sumx,sumy,tilt,y2,corrected
20,2018-02-05 18:40:00+10:00,139.0,36.0,5,2,2018,2.2713492401461775,27.021745289999995,61.37582063186504,13,2.2713492401461775,0.9746419000000001
21,2018-02-06 18:40:00+10:00,140.0,37.0,6,2,2018,1.004803158760441,60.97958945999999,61.27248410932288,7,1.004803158760441,0.9747640000000001
22,2018-04-27 17:40:00+10:00,220.0,117.0,27,4,2018,0.9373733916269014,46.38165949799999,43.47693347292434,-2,0.9373733916269014,0.9845320000000001
23,2018-05-21 17:30:00+10:00,244.0,141.0,21,5,2018,1.1814664131142827,32.18483378399999,38.025300127461854,2,1.1814664131142827,0.9874624000000001
24,2018-06-19 17:30:00+10:00,273.0,170.0,19,6,2018,0.8845417616383625,39.541471362,34.97608273631634,1,0.8845417616383625,0.9910033
25,2018-07-02 17:30:00+10:00,286.0,183.0,2,7,2018,2.4901988224909957,14.146703375999998,35.228104089044585,3,2.4901988224909957,0.9925906
26,2018-07-10 17:30:00+10:00,294.0,191.0,10,7,2018,0.9820240827124987,36.53589785399999,35.87913157615189,2,0.9820240827124987,0.9935674
27,2018-07-11 17:30:00+10:00,295.0,192.0,11,7,2018,0.9735614328675419,36.963079799999996,35.98582893328529,5,0.9735614328675419,0.9936895
28,2018-07-17 17:30:00+10:00,301.0,198.0,17,7,2018,0.9935045995262796,36.977759279999994,36.73757392485556,1,0.9935045995262796,0.9944221
29,2018-07-18 17:40:00+10:00,302.0,199.0,18,7,2018,0.9232308724291997,36.35676521999999,33.565688072764175,0,0.9232308724291997,0.9945442
30,2018-07-20 17:40:00+10:00,304.0,201.0,20,7,2018,0.9184674810162713,40.47978984,37.17937060641285,0,0.9184674810162713,0.9947884
31,2018-07-21 17:40:00+10:00,305.0,202.0,21,7,2018,0.9140914190368106,40.84675758,37.3376705993548,0,0.9140914190368106,0.9949105
32,2018-07-25 17:40:00+10:00,309.0,206.0,25,7,2018,0.9058162800271211,41.966196,38.01366354760905,1,0.9058162800271211,0.9953989
33,2018-08-08 17:40:00+10:00,323.0,220.0,8,8,2018,0.9250804731139461,44.20525704,40.893420096686796,0,0.9250804731139461,0.9971083000000001
34,2018-08-09 17:40:00+10:00,324.0,221.0,9,8,2018,0.9176012562444513,44.81640047999999,41.123585380802425,3,0.9176012562444513,0.9972304000000001
35,2018-08-12 17:40:00+10:00,327.0,224.0,12,8,2018,0.9228974132741175,45.324115199999994,41.829508677018104,-4,0.9228974132741175,0.9975967
36,2018-08-14 17:40:00+10:00,329.0,226.0,14,8,2018,0.9921586372165045,42.642365999999996,42.3079917382474,2,0.9921586372165045,0.9978409
37,2018-08-19 17:50:00+10:00,334.0,231.0,19,8,2018,0.9377688384492993,46.44077837999999,43.55071479809392,0,0.9377688384492993,0.9984514
38,2018-08-20 17:50:00+10:00,335.0,232.0,20,8,2018,0.9485449340532175,46.181631899999985,43.80535298505545,-2,0.9485449340532175,0.9985735
39,2018-08-21 17:50:00+10:00,336.0,233.0,21,8,2018,0.9319612328580159,47.278121940000005,44.06137681041402,2,0.9319612328580159,0.9986956
40,2018-08-23 17:50:00+10:00,338.0,235.0,23,8,2018,0.9068427114259681,49.15637333999999,44.57709888351276,1,0.9068427114259681,0.9989398
41,2018-08-29 17:50:00+10:00,344.0,241.0,29,8,2018,0.9433948090041547,48.91147602,46.142832577999194,-1,0.9433948090041547,0.9996724
42,2018-08-30 17:50:00+10:00,345.0,242.0,30,8,2018,0.9214025093335458,50.36616840000001,46.407513949275945,4,0.9214025093335458,0.9997945
