,date,dn,dn1,day,month,year,hour,minute,zenith_angle,radius_vec,equ_time,declination,rawpar,modpar,corrpar
636,2017-09-23 14:50:00+10:00,266,4,23,9,2017,14,50,46.51096703705019,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1427.53,1408.444975345606,1413.466830958
637,2017-09-23 15:00:00+10:00,266,4,23,9,2017,15,0,48.757343978660955,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1353.99,1338.7111020518894,1340.651302914
638,2017-09-23 15:10:00+10:00,266,4,23,9,2017,15,10,51.02162848708771,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1301.32,1265.7119946988405,1288.500176152
639,2017-09-23 15:20:00+10:00,266,4,23,9,2017,15,20,53.30137735828205,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1193.79,1189.578589082567,1182.029497194
640,2017-09-23 15:30:00+10:00,266,4,23,9,2017,15,30,55.59451966359796,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1113.73,1110.4909849336857,1102.758200278
641,2017-09-23 15:40:00+10:00,266,4,23,9,2017,15,40,57.899287533582665,0.9930456726880935,0.12732003044614562,0.0020552109105384762,1032.86,1028.6920318954099,1022.6848829959999
642,2017-09-23 15:50:00+10:00,266,4,23,9,2017,15,50,60.21416092119715,0.9930456726880935,0.12732003044614562,0.0020552109105384762,976.252,944.5012747091696,966.6345510472
643,2017-09-23 16:00:00+10:00,266,4,23,9,2017,16,0,62.53782325526475,0.9930456726880935,0.12732003044614562,0.0020552109105384762,795.737,858.3287516942081,787.8978765182
644,2017-09-23 16:10:00+10:00,266,4,23,9,2017,16,10,64.86912560447979,0.9930456726880935,0.12732003044614562,0.0020552109105384762,511.347,770.688097236988,506.3095161642
645,2017-09-23 16:20:00+10:00,266,4,23,9,2017,16,20,67.20705751542235,0.9930456726880935,0.12732003044614562,0.0020552109105384762,504.613,682.2083721567896,499.6418554918
646,2017-09-23 16:30:00+10:00,266,4,23,9,2017,16,30,69.55072310222721,0.9930456726880935,0.12732003044614562,0.0020552109105384762,531.402,593.6440372105517,526.1669463372001
647,2017-09-23 16:40:00+10:00,266,4,23,9,2017,16,40,71.89932128105146,0.9930456726880935,0.12732003044614562,0.0020552109105384762,412.538,505.88249581940437,408.4739231468
648,2017-09-23 16:50:00+10:00,266,4,23,9,2017,16,50,74.25212928285002,0.9930456726880935,0.12732003044614562,0.0020552109105384762,438.482,419.948662916502,434.16233842520006
649,2017-09-23 17:00:00+10:00,266,4,23,9,2017,17,0,76.60848876123892,0.9930456726880935,0.12732003044614562,0.0020552109105384762,327.154,337.00606757096153,323.9310750844
650,2017-09-23 17:10:00+10:00,266,4,23,9,2017,17,10,78.96779395204652,0.9930456726880935,0.12732003044614562,0.0020552109105384762,297.476,258.35406702712515,294.54544493360004
651,2017-09-23 17:20:00+10:00,266,4,23,9,2017,17,20,81.32948144777774,0.9930456726880935,0.12732003044614562,0.0020552109105384762,167.337,185.42083765993578,165.6884962782
652,2017-09-23 17:30:00+10:00,266,4,23,9,2017,17,30,83.69302123130676,0.9930456726880935,0.12732003044614562,0.0020552109105384762,100.09,119.75191211726177,99.103973374
